transaction_id,timestamp,user_id,merchant,amount,description,category,pattern_label
2f6b5af0-b52e-4fcf-9867-7a281d08d34d,2023-07-01 00:00:00,user_8940,UndeadFitness,32.99,Monthly Gym,Health,normal
c31577a7-6026-4451-8fd6-9ddc2efd96b8,2023-07-01 00:00:00,user_4565,UndeadFitness,32.99,Monthly Gym,Health,normal
51b64453-4196-4f69-8e16-585335b3c313,2023-07-01 00:00:00,user_2413,UndeadFitness,32.99,Monthly Gym,Health,normal
b758b831-37e4-424b-b55e-7d937ab2180b,2023-07-01 00:00:00,user_5843,StealthNet,10.99,Monthly Access,Software,normal
7a6ecab1-8b2e-4549-823f-38dbac64e3e6,2023-07-01 00:00:00,user_7346,UndeadFitness,32.99,Monthly Gym,Health,normal
f42a6505-2a52-49b4-b3bc-5ee8d9fbbce0,2023-07-01 00:00:00,user_5713,UndeadFitness,32.99,Monthly Gym,Health,normal
8b6f624d-8866-430d-9a6d-7e80530f054d,2023-07-01 00:00:00,user_6262,UndeadFitness,32.99,Monthly Gym,Health,normal
fea67099-940e-4301-881d-f55b9bfb6ca4,2023-07-01 00:00:00,user_5897,UndeadFitness,32.99,Monthly Gym,Health,normal
5dc7b043-8b85-4711-9bc7-4977480a8de9,2023-07-01 00:00:00,user_1109,UndeadFitness,32.99,Monthly Gym,Health,normal
fed03027-4c90-4a02-ac81-382cd02c3611,2023-07-01 00:00:00,user_8380,UndeadFitness,32.99,Monthly Gym,Health,normal
c88d8c2d-2055-489b-85fc-ff25b363413e,2023-07-01 00:00:00,user_1865,StealthNet,10.99,Monthly Access,Software,normal
a0a8589c-a181-4796-b39a-24a97f356bcc,2023-07-01 00:00:00,user_6083,UndeadFitness,32.99,Monthly Gym,Health,normal
23b8c3b0-4036-4263-8d0f-1c2b74ebf442,2023-07-01 00:00:00,user_7088,UndeadFitness,32.99,Monthly Gym,Health,normal
5e7a22e5-edd7-4918-9830-cdfd812d1db7,2023-07-01 00:00:00,user_5149,UndeadFitness,32.99,Monthly Gym,Health,normal
73b5b3cb-1704-42ee-aa21-d8ccbc0e005c,2023-07-01 00:00:00,user_4816,UndeadFitness,32.99,Monthly Gym,Health,normal
bb4b2ba7-cc6b-49ca-9905-af76f54b7da4,2023-07-01 00:00:00,user_7016,UndeadFitness,32.99,Monthly Gym,Health,normal
2062c968-a839-4bf1-b538-c976a3b4590c,2023-07-01 00:00:00,user_8788,UndeadFitness,32.99,Monthly Gym,Health,normal
