Transaction_ID,Description,Amount,Frequency,Price_Change_Pct,Income_Bracket,Category
65418fc7-c4ae-43c0-a9ad-83ddda12c8c3,Novel,33.97,First_Txn,0.0,High,Shopping
c6816046-2dba-429d-9fa4-2d805ed1d332,Novel,53.04,Irregular,0.5613776861937003,High,Shopping
70c6f2d6-2a46-402e-a41c-a36fe6dc7add,Electric Bill,108.64,First_Txn,0.0,High,Utilities
6c0c848a-3ecc-438c-96c8-dda1370991ee,Power Usage,114.95,Irregular,0.05808173784977911,High,Utilities
775daead-04f9-4b45-a31e-06c7d6ffcccb,Electric Bill,84.64,Irregular,-0.26367986080904743,High,Utilities
40193cef-a769-489e-b610-38a7d52505eb,Electric Bill,93.44,Irregular,0.1039697542533081,High,Utilities
7e2cec84-21e5-4e2c-a66c-ed43c54bf49a,Latte,7.93,First_Txn,0.0,High,Dining
95c8035a-4604-40e6-b333-1926ea008147,Morning Brew,14.74,Irregular,0.8587641866330392,High,Dining
49e04280-130f-44d4-9dae-f341aef6993f,Morning Brew,7.84,Irregular,-0.4681139755766622,High,Dining
7e0eb85f-f5f6-4444-9a0b-fbd439330a61,Coffee,12.68,Irregular,0.6173469387755102,High,Dining
a470b851-8038-47a5-ad85-b4fd78693c80,Shoes,132.15,First_Txn,0.0,High,Shopping
dfa875cc-8f9e-40d8-9ca4-54039d44f290,Accessory,68.15,Irregular,-0.48429814604615967,High,Shopping
2f4d2e95-65e4-4d18-8c07-c475051aad94,Burger Combo,25.18,First_Txn,0.0,High,Dining
fa087924-717a-4ddf-a907-2cc871ca042f,Drive Thru,28.56,Monthly,0.1342335186656076,High,Dining
356253ed-42c0-4456-8d01-b13acae6a4e2,Drive Thru,28.03,Irregular,-0.018557422969187592,High,Dining
34ac6fd7-3810-4d48-b97b-2547ad46a638,Drive Thru,26.61,Irregular,-0.050660007135212334,High,Dining
ff309c05-bebc-4034-a121-9f60274c60b0,Lunch,11.48,Irregular,-0.5685832393836903,High,Dining
7fbfe361-13bf-4787-a046-b2c8c85cf73d,S&H for Trial,4.95,First_Txn,0.0,High,Shopping
b95d409b-c3a6-48d0-99b7-22178aa288b7,Quarterly Membership,99.0,Irregular,19.0,High,Shopping
377bc6ce-57eb-4a6f-bacf-ac6861e28e8a,Store #402,142.53,First_Txn,0.0,High,Groceries
51902bee-8d9c-4482-97e5-14276689fe63,Store #402,158.95,Irregular,0.11520381674033528,High,Groceries
644817d8-4c31-43a5-adad-c0c29864d3b2,Groceries,53.76,Irregular,-0.6617804340987732,High,Groceries
c1c86ca2-3320-44b0-b48e-dfdcc56bc310,Store #402,135.32,Irregular,1.5171130952380953,High,Groceries
0ab5dc8e-e392-4d3f-a5aa-f20c04c59019,Store #402,89.37,Irregular,-0.33956547443097834,High,Groceries
8376000d-bd92-4dc7-a08d-e517561ce112,Weekly Shop,164.69,Irregular,0.8427884077430904,High,Groceries
fd6df427-5cae-4e01-a9bd-3459ae82d8a8,Store #402,105.4,Irregular,-0.3600097152225393,High,Groceries
d6cda275-ed5a-4c52-bc84-39793506dd96,Monthly Dues,40.0,First_Txn,0.0,High,Health
902886bf-8952-4352-87cb-1ae737504cfa,Gym Membership,40.0,Irregular,0.0,High,Health
0305b478-6563-49ad-84de-0f2f4e47cbdb,Gym Membership,40.0,Irregular,0.0,High,Health
18a84ac8-21d2-4adc-be6f-e7440ea64b21,Subway Token,8.36,First_Txn,0.0,High,Transport
cc5145e2-b044-4ba1-bc83-43f8293ae5f9,Bus Fare,5.28,Irregular,-0.36842105263157887,High,Transport
667846a9-7357-4492-99f4-c970424a4786,Bus Fare,2.56,Irregular,-0.5151515151515151,High,Transport
c025d9c6-77e7-469b-900c-8fca2a1f8fa6,Bus Fare,2.46,Irregular,-0.039062500000000035,High,Transport
5127c222-7bb3-4885-83c6-ee536a17be91,Ride Share,8.99,Irregular,2.6544715447154474,High,Transport
e59d846b-f08b-4c75-8029-06a0dd4af6ea,Subway Token,4.63,Irregular,-0.4849833147942158,High,Transport
08a06a80-6b3c-40fb-8215-b15bb3dacdb5,Phone Bill,50.43,First_Txn,0.0,High,Utilities
d70fa32d-1dd1-4f9a-bb24-58bd9fae591d,Data Plan,50.87,Irregular,0.008724965298433427,High,Utilities
5a0bfcdb-08cb-404b-95d5-671215711e2e,Data Plan,55.81,Irregular,0.09711028110870858,High,Utilities
e53ceea3-e898-4c47-927d-7902b25add1f,Phone Bill,48.33,Irregular,-0.1340261601863466,High,Utilities
d5eacc07-6ef7-4a7b-b697-1bbbb1b12916,Ride to Work,26.08,First_Txn,0.0,High,Transport
63853223-b273-4809-8e58-7a15e1e2a85c,Trip,27.45,Irregular,0.05253067484662581,High,Transport
9dc00d2d-e252-4a0d-b701-a08b863c3a06,Trip,39.97,Irregular,0.45610200364298725,High,Transport
